Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent
04-02-2019,151234,Female,59,Married,Pennsylvania,Basic,Employees,Card,0,1729.36
05-02-2019,151235,Male,70,Married,New Hampshire,Silver,workers,Other,1,2040.29
06-02-2019,151236,Male,75,Married,Washington,Platinum,Employees,PayPal,1,2744.88
07-02-2019,151237,Male,64,Married,Texas,Missing,Employees,PayPal,1,351.88
08-02-2019,151238,Female,64,Married,Ohio,Silver,Unemployment,Other,0,692.14
09-02-2019,151239,Male,64,Married,New York,Silver,Unemployment,PayPal,1,2418.62
10-02-2019,151240,Female,21,Married,Kentucky,Basic,workers,Card,0,2734.15
11-02-2019,151241,Female,46,Married,New Mexico,Silver,workers,PayPal,1,2851.83
12-02-2019,151242,Female,16,Single,Texas,Gold,self-employed,PayPal,1,938.16
13-02-2019,151243,Female,63,Married,Maine,Gold,workers,PayPal,1,281.92
14-02-2019,151244,Male,75,Single,Massachusetts,Basic,Employees,PayPal,1,747.68
15-02-2019,151245,Male,70,Married,Wyoming,Basic,Unemployment,Card,1,1784.15
16-02-2019,151246,Male,41,Single,Kentucky,Missing,Employees,PayPal,1,1115.9
17-02-2019,151247,Male,33,Married,Florida,Silver,Employees,Other,0,1902.47
18-02-2019,151248,Female,64,Single,Massachusetts,Platinum,self-employed,Card,1,1949.92
19-02-2019,151249,Female,73,Married,Iowa,Basic,Unemployment,Card,0,
20-02-2019,151250,Female,16,Married,Maryland,Silver,Employees,PayPal,1,583.72
21-02-2019,151251,Male,56,Single,Louisiana,Basic,self-employed,Card,0,2445.03
22-02-2019,151252,Male,35,Married,North Carolina,Basic,Unemployment,PayPal,1,1107.96
23-02-2019,151253,Male,51,Single,Kentucky,Basic,self-employed,PayPal,1,1312.78
24-02-2019,151254,Male,15,Married,Illinois,Basic,Employees,Card,1,2690.18
25-02-2019,151255,Male,26,Single,Rhode Island,Basic,workers,PayPal,1,2603.22
26-02-2019,151256,Female,67,Single,Iowa,Gold,Employees,PayPal,1,611.7
27-02-2019,151257,Male,71,Single,Massachusetts,Gold,Employees,PayPal,1,2569.67
28-02-2019,151258,Female,32,Single,South Carolina,Basic,Employees,Other,,676.7
01-03-2019,151259,Male,73,Married,West Virginia,Basic,Employees,PayPal,0,1397.09
02-03-2019,151260,Male,55,Married,Kansas,Basic,Employees,Other,1,1277.64
03-03-2019,151261,Female,72,Married,Iowa,Silver,Unemployment,PayPal,,515.77
04-03-2019,151262,Male,15,Married,South Carolina,Basic,self-employed,Other,1,790.1
05-03-2019,151263,Female,63,Single,Texas,Gold,Employees,Card,1,1218.56
06-03-2019,151259,Male,73,Married,West Virginia,Basic,Employees,PayPal,0,1397.09
07-03-2019,151260,Male,55,Married,Kansas,Basic,Employees,Other,1,1277.64
08-03-2019,151261,Female,72,Married,Iowa,Silver,Unemployment,PayPal,,515.77
09-03-2019,151262,Male,15,Married,South Carolina,Basic,self-employed,Other,1,790.1
10-03-2019,151263,Female,63,Single,Texas,Gold,Employees,Card,1,1218.56
11-03-2019,151264,Male,52,Married,Tennessee,Basic,self-employed,PayPal,1,2850.48
12-03-2019,151265,Female,30,Single,California,Silver,workers,Card,0,1947.2
13-03-2019,151266,Male,24,Married,Colorado,Platinum,workers,PayPal,0,1731.54
14-03-2019,151267,,37,Single,Ohio,Basic,Unemployment,Other,1,52.08
15-03-2019,151268,Male,53,Married,Maine,Silver,Employees,Card,0,
16-03-2019,151269,Male,21,Married,Montana,Basic,Employees,PayPal,,340.38
17-03-2019,151270,Male,24,Married,Oregon,Silver,workers,Other,1,1663.72
18-03-2019,151271,,48,Married,North Dakota,Basic,Unemployment,Card,1,828.41
19-03-2019,151272,Female,69,Single,Texas,Missing,workers,Card,,489.47
20-03-2019,151273,Female,73,Married,Alaska,Platinum,self-employed,PayPal,0,1364.31
21-03-2019,151274,Male,50,Single,Oklahoma,Missing,Employees,Card,1,2943.46
22-03-2019,151275,Male,28,Single,Connecticut,Basic,Unemployment,Card,1,2768.15
23-03-2019,151276,Female,49,Married,Vermont,Basic,workers,PayPal,1,2439.65
24-03-2019,151277,Female,70,Married,Ohio,Silver,workers,Other,1,574.1
25-03-2019,151278,Female,61,Single,Oklahoma,Basic,self-employed,Card,0,206.79
26-03-2019,151279,Female,21,Married,Oregon,Basic,self-employed,Other,0,
27-03-2019,151280,Male,34,Single,Illinois,Silver,workers,PayPal,1,1933.66
28-03-2019,151281,Female,58,Married,Nevada,Gold,workers,Card,0,2640.72
29-03-2019,151282,Male,70,Single,New Jersey,Basic,workers,PayPal,0,2969.24
30-03-2019,151283,Female,48,Married,Louisiana,Silver,Employees,Other,0,1144.28
31-03-2019,151284,Female,43,Married,Massachusetts,Platinum,self-employed,Other,1,
01-04-2019,151285,Female,51,Married,Indiana,Platinum,workers,PayPal,1,2722.37
02-04-2019,151286,Male,45,Single,New York,Basic,Employees,Other,0,2823.89
03-04-2019,151287,Female,45,Single,New York,Silver,workers,PayPal,0,1955.43
04-04-2019,151288,Male,60,Married,Rhode Island,Silver,Employees,Card,1,841.26
05-04-2019,151289,Female,41,Single,Florida,Basic,self-employed,Card,1,
06-04-2019,151290,Female,51,Single,Arkansas,Platinum,workers,Card,1,2547.96
07-04-2019,151291,Female,15,Single,Virginia,Basic,Unemployment,Card,1,2922.97
08-04-2019,151292,Male,55,Married,Michigan,Basic,Employees,PayPal,0,803.5
09-04-2019,151293,Male,75,Married,Maryland,Basic,Employees,Card,1,1612.63
10-04-2019,151294,Female,77,Single,Nebraska,Platinum,Employees,PayPal,1,1608.27
11-04-2019,151295,Female,22,Married,Kansas,Missing,workers,Card,0,2061.14
12-04-2019,151296,Female,33,Married,Virginia,Platinum,Employees,PayPal,0,2989.33
13-04-2019,151297,Male,60,Married,Utah,Silver,Unemployment,Other,1,433.2
14-04-2019,151298,Female,45,Married,Missouri,Platinum,workers,Other,1,929.89
15-04-2019,151299,Male,33,Single,Arizona,Silver,workers,PayPal,0,2560.26
16-04-2019,151300,Male,24,Married,South Carolina,Basic,Unemployment,Other,0,
17-04-2019,151301,Female,53,Single,Colorado,Basic,self-employed,Other,1,1888.69
18-04-2019,151302,Female,70,Married,New Hampshire,Missing,Employees,Card,1,685.49
19-04-2019,151303,Male,16,Married,Nebraska,Basic,workers,PayPal,1,1264.73
20-04-2019,151297,Male,60,Married,Utah,Silver,Unemployment,Other,1,433.2
21-04-2019,151298,Female,45,Married,Missouri,Platinum,workers,Other,1,929.89
22-04-2019,151299,Male,33,Single,Arizona,Silver,workers,PayPal,0,2560.26
23-04-2019,151300,Male,24,Married,South Carolina,Basic,Unemployment,Other,0,
24-04-2019,151301,Female,53,Single,Colorado,Basic,self-employed,Other,1,1888.69
25-04-2019,151302,Female,70,Married,New Hampshire,Missing,Employees,Card,1,685.49
26-04-2019,151303,Male,16,Married,Nebraska,Basic,workers,PayPal,1,1264.73
27-04-2019,151304,Male,50,Married,Montana,Basic,workers,Card,1,
28-04-2019,151305,Female,25,Married,Wyoming,Silver,workers,Other,1,309.82
29-04-2019,151306,Female,76,Single,Ohio,Basic,self-employed,PayPal,1,1331.62
30-04-2019,151307,Female,43,Married,Wyoming,Basic,Employees,Card,1,914.94
01-05-2019,151308,Female,32,Single,Oregon,Basic,workers,PayPal,1,2922.53
02-05-2019,151309,Male,43,Married,Tennessee,Silver,self-employed,PayPal,0,2434.81
03-05-2019,151310,Female,19,Single,Louisiana,Platinum,workers,Card,0,1711.6
04-05-2019,151311,Female,41,Married,Utah,Basic,self-employed,Other,0,1178.02
05-05-2019,151312,Male,32,Married,Florida,Silver,Employees,PayPal,1,15.37
06-05-2019,151313,Male,76,Single,Michigan,Silver,Unemployment,PayPal,1,764.34
07-05-2019,151314,Female,55,Married,Kansas,Platinum,Employees,PayPal,1,329.18
08-05-2019,151315,Female,72,Single,South Dakota,Basic,Unemployment,Other,0,1380
09-05-2019,151316,Male,56,Single,Virginia,Platinum,self-employed,PayPal,1,46.72
10-05-2019,151317,Male,74,Single,Connecticut,Basic,workers,Other,1,560.13
11-05-2019,151318,Female,34,Married,Kentucky,Platinum,workers,Other,1,
12-05-2019,151319,Female,54,Married,Georgia,Basic,Unemployment,Other,,1034.15
13-05-2019,151320,Female,31,Married,Washington,Missing,self-employed,Card,1,2508.55
14-05-2019,151321,Female,69,Single,Montana,Basic,self-employed,PayPal,1,2906.08
15-05-2019,151322,Male,52,Single,Michigan,Gold,Unemployment,PayPal,1,1093.33
16-05-2019,151323,Female,15,Married,Alaska,Basic,self-employed,Other,0,1408.1
17-05-2019,151324,Male,74,Single,Wisconsin,Basic,workers,Card,0,490.37
18-05-2019,151325,Female,68,Single,Rhode Island,Basic,Employees,PayPal,1,
19-05-2019,151326,Male,24,Married,Louisiana,Missing,Employees,Other,0,1204.03
20-05-2019,151327,Female,77,Single,Kansas,Platinum,self-employed,PayPal,0,200.58
21-05-2019,151328,Female,16,Married,Georgia,Basic,workers,PayPal,0,1253.32
22-05-2019,151329,Female,33,Single,Kentucky,Basic,Employees,Card,0,1486.32
23-05-2019,151330,Male,26,Married,Idaho,Basic,Unemployment,PayPal,0,1461.49
24-05-2019,151331,Male,28,Single,West Virginia,Platinum,workers,Card,1,1893.16
25-05-2019,151332,Female,49,Married,Nebraska,Basic,Employees,PayPal,1,1321.7
26-05-2019,151333,Male,52,Married,New Mexico,Basic,workers,Other,0,861.26
27-05-2019,151334,Male,18,Single,Alabama,Silver,Employees,Other,0,459.47
28-05-2019,151335,Male,71,Single,Oregon,Basic,workers,PayPal,0,685.01
29-05-2019,151336,Male,22,Married,New Mexico,Gold,workers,PayPal,0,1862.93
30-05-2019,151337,Female,54,Married,Michigan,Basic,Unemployment,PayPal,1,2831.72
31-05-2019,151338,Female,77,Married,Montana,Basic,workers,Other,1,875.44
01-06-2019,151339,Male,59,Married,Ohio,Basic,Employees,Other,1,435.79
02-06-2019,151340,Male,61,Married,California,Basic,self-employed,PayPal,1,670.59
03-06-2019,151341,Female,45,Married,Montana,Basic,Employees,PayPal,0,2497.39
04-06-2019,151342,Male,39,Married,Pennsylvania,Silver,workers,Other,1,93.11
05-06-2019,151343,Male,16,Married,Oklahoma,Gold,Employees,Card,1,2497.12
06-06-2019,151344,Female,28,Single,North Dakota,Silver,Employees,Card,1,1733.65
07-06-2019,151345,Male,25,Married,West Virginia,Basic,Employees,PayPal,1,2746.61
08-06-2019,151346,Female,42,Married,Arkansas,Silver,Employees,Card,1,2789.59
09-06-2019,151347,Female,28,Married,California,Basic,Employees,PayPal,1,1287.31
10-06-2019,151348,Male,63,Married,Arizona,Gold,Employees,PayPal,1,1747.91
11-06-2019,151349,Male,46,Single,Rhode Island,Platinum,workers,PayPal,,214.92
12-06-2019,151350,Female,78,Single,Michigan,Basic,Employees,PayPal,0,2555.05
13-06-2019,151351,Female,75,Married,Oklahoma,Basic,self-employed,Other,1,1319.12
14-06-2019,151352,Female,64,Married,New York,Basic,Employees,PayPal,1,1581.77
15-06-2019,151353,Female,28,Single,Vermont,Silver,workers,Other,1,2422.79
16-06-2019,151354,Female,42,Single,Illinois,Silver,Employees,Card,1,971.01
17-06-2019,151355,Female,66,Married,Georgia,Basic,Employees,PayPal,1,783.89
18-06-2019,151356,Female,62,Married,Mississippi,Silver,Unemployment,Other,1,503.49
19-06-2019,151357,Male,15,Married,Florida,Gold,Employees,Other,1,1790.9
20-06-2019,151358,Male,76,Married,Georgia,Missing,workers,Other,1,1832.59
21-06-2019,151359,Female,53,Married,Nevada,Platinum,self-employed,PayPal,0,71.73
22-06-2019,151360,Male,39,Married,Idaho,Basic,Employees,PayPal,1,2486.94
23-06-2019,151361,Female,58,Married,North Carolina,Silver,Employees,PayPal,1,520.69
24-06-2019,151362,Female,30,Married,New Jersey,Gold,Employees,Card,1,918.51
25-06-2019,151363,Female,17,Single,West Virginia,Basic,self-employed,PayPal,1,1070.97
26-06-2019,151364,,40,Married,Colorado,Missing,self-employed,PayPal,1,1089.97
27-06-2019,151365,Female,20,Married,Georgia,Silver,self-employed,PayPal,1,1618.44
28-06-2019,151366,Male,46,Married,Alaska,Platinum,Unemployment,Other,1,2417.73
29-06-2019,151367,Female,36,Single,Iowa,Basic,,PayPal,1,677.36
30-06-2019,151368,Female,20,Married,New York,Basic,workers,PayPal,,2694.2
01-07-2019,151369,Female,20,Single,Minnesota,Basic,Employees,PayPal,0,922.31
02-07-2019,151370,Female,30,Married,Maryland,Platinum,workers,PayPal,1,350.68
03-07-2019,151371,Male,40,Married,Rhode Island,Silver,workers,Card,1,1152.11
04-07-2019,151372,Male,45,Single,Ohio,Basic,Employees,Other,1,1742.52
05-07-2019,151373,Female,17,Single,Hawaii,Silver,Employees,Card,1,655.42
06-07-2019,151374,Female,40,Married,Idaho,Silver,workers,Other,0,1977.22
07-07-2019,151375,Female,47,Married,West Virginia,Basic,workers,Other,0,1829.32
08-07-2019,151376,Male,37,Married,Oklahoma,Basic,Employees,Card,,782.67
09-07-2019,151377,Female,55,Single,California,Silver,self-employed,Card,1,
10-07-2019,151378,Female,25,Single,Wyoming,Platinum,Unemployment,Card,1,2740.57
11-07-2019,151379,,32,Single,Arkansas,Basic,workers,Other,1,215.16
12-07-2019,151380,Female,17,Married,Mississippi,Basic,Unemployment,Card,1,1277.84
13-07-2019,151381,Male,47,Single,Alabama,Basic,Employees,PayPal,,1500.59
14-07-2019,151382,Female,62,Married,New Mexico,Platinum,Employees,Card,0,103.59
15-07-2019,151383,Male,33,Married,Delaware,Basic,Employees,Other,1,1064.87
16-07-2019,151384,Female,72,Married,Nevada,Basic,self-employed,Other,,89.91
17-07-2019,151385,Male,43,Married,Missouri,Silver,Employees,Card,0,2903.96
18-07-2019,151386,Female,34,Married,Alaska,Missing,workers,Card,0,1493.1
19-07-2019,151387,Female,49,Married,Oklahoma,Missing,Employees,PayPal,0,2562.52
20-07-2019,151388,Male,25,Single,Maine,Gold,workers,Other,1,
21-07-2019,151389,Female,19,Married,Tennessee,Silver,workers,PayPal,,1003.62
22-07-2019,151390,Male,47,Single,Wyoming,Gold,Unemployment,Other,1,234.19
23-07-2019,151391,Female,15,Married,Wyoming,Basic,Employees,PayPal,1,2089.53
24-07-2019,151392,Male,66,Married,Massachusetts,Silver,workers,PayPal,1,2698.5
25-07-2019,151393,Female,37,Married,Arizona,Basic,Employees,Other,1,
26-07-2019,151394,Male,62,Single,Texas,Silver,Employees,Card,0,69.84
27-07-2019,151395,,67,Single,Illinois,Gold,Employees,Card,1,2562.33
28-07-2019,151396,Male,21,Single,Minnesota,Platinum,workers,PayPal,1,2635.13
29-07-2019,151397,Male,75,Single,Kentucky,Platinum,Unemployment,Card,1,
30-07-2019,151398,Male,17,Married,Nevada,Silver,Employees,Other,1,1092.95
31-07-2019,151399,Female,62,Married,Massachusetts,Gold,self-employed,Card,1,
01-08-2019,151400,,15,Single,Maine,Basic,workers,Card,1,1038.55
02-08-2019,151401,Male,64,Single,North Carolina,Platinum,Unemployment,Card,1,2590.51
03-08-2019,151402,Male,54,Single,North Dakota,Basic,Employees,Card,1,1659.73
04-08-2019,151403,Female,45,Single,Montana,Platinum,Employees,PayPal,1,968.41
05-08-2019,151404,Female,43,Married,Maine,Silver,workers,PayPal,0,705.68
06-08-2019,151405,Male,26,Married,Minnesota,Basic,Employees,Card,0,982.4
07-08-2019,151406,Male,17,Single,North Carolina,Basic,self-employed,Other,1,1390.46
08-08-2019,151407,Male,78,Married,Idaho,Silver,workers,Card,0,378.43
09-08-2019,151408,Female,65,Married,Vermont,Platinum,Employees,Card,1,61.35
10-08-2019,151409,Male,19,Single,Massachusetts,Basic,Unemployment,PayPal,1,1081.9
11-08-2019,151410,Male,65,Married,Nebraska,Basic,Employees,Card,1,
12-08-2019,151411,Female,35,Single,New Mexico,Basic,workers,PayPal,0,2878.76
13-08-2019,151412,Female,41,Married,Michigan,Silver,Employees,PayPal,1,225.14
14-08-2019,151413,Male,59,Single,Missouri,Platinum,workers,Other,1,2452.97
15-08-2019,151414,Female,64,Married,Vermont,Platinum,workers,Other,1,2054.68
16-08-2019,151415,Female,15,Single,New York,Basic,self-employed,PayPal,1,1690.62
17-08-2019,151416,Female,58,Married,Kentucky,Basic,Employees,PayPal,,931.82
18-08-2019,151417,Male,62,Married,Vermont,Basic,Employees,Card,1,2875.62
19-08-2019,151418,Male,41,Single,Virginia,Basic,Employees,Card,1,1326.62
20-08-2019,151419,,62,Married,North Carolina,Silver,Employees,PayPal,1,2909.85
21-08-2019,151420,Female,18,Single,Florida,Silver,workers,PayPal,1,2493.01
22-08-2019,151421,Male,63,Married,Indiana,Gold,self-employed,Card,1,414.51
23-08-2019,151422,Female,71,Married,Oklahoma,Gold,workers,PayPal,1,1865.09
24-08-2019,151423,Female,38,Married,Nebraska,Silver,self-employed,PayPal,0,
25-08-2019,151424,Female,51,Married,Oklahoma,Platinum,workers,PayPal,1,1165.53
26-08-2019,151425,Male,76,Single,Delaware,Basic,Employees,Card,1,
27-08-2019,151426,Female,78,Single,Indiana,Basic,Employees,PayPal,1,1264.81
28-08-2019,151427,Male,70,Married,South Dakota,Platinum,Employees,PayPal,1,1989.96
29-08-2019,151428,Female,59,Single,West Virginia,Basic,workers,PayPal,0,
30-08-2019,151429,Male,16,Married,Idaho,Basic,self-employed,PayPal,1,387.77
31-08-2019,151430,Female,18,Single,Illinois,Basic,Unemployment,PayPal,1,2589.36
01-09-2019,151431,Female,53,Single,Virginia,Platinum,workers,PayPal,0,1494.1
02-09-2019,151432,Female,47,Single,South Carolina,Silver,workers,Card,1,2779.66
03-09-2019,151433,Male,57,Married,New Jersey,Platinum,Unemployment,Other,1,841.23
04-09-2019,151434,,47,Married,South Dakota,Platinum,workers,Other,1,
05-09-2019,151435,Male,19,Married,Massachusetts,Gold,workers,Other,1,2694.54
06-09-2019,151436,Male,64,Single,Mississippi,Basic,Employees,Card,0,2432.67
07-09-2019,151437,Male,57,Single,Nevada,Basic,self-employed,PayPal,1,80.64
08-09-2019,151438,Female,67,Married,South Carolina,Basic,workers,PayPal,1,2960.41
09-09-2019,151439,Female,53,Married,New Hampshire,Basic,workers,Other,0,2600.69
10-09-2019,151440,Female,68,Married,Ohio,Basic,Employees,PayPal,1,550.44
11-09-2019,151441,Female,44,Single,Virginia,Platinum,,PayPal,,1226.06
12-09-2019,151442,Female,78,Married,New York,Missing,Employees,PayPal,,2959.54
13-09-2019,151443,Female,76,Single,Vermont,Platinum,Employees,Other,1,1672.01
14-09-2019,151444,Female,60,Single,New Jersey,Basic,self-employed,Card,1,1891.16
15-09-2019,151445,Female,45,Married,Arizona,Basic,workers,Card,1,1692.07
16-09-2019,151446,Male,54,Single,West Virginia,Gold,self-employed,PayPal,1,485.43
17-09-2019,151447,Female,57,Single,Georgia,Basic,Unemployment,PayPal,1,625.29
18-09-2019,151448,Male,48,Single,Wisconsin,Basic,self-employed,PayPal,1,1471.54
19-09-2019,151449,,62,Married,New Mexico,Gold,self-employed,PayPal,0,1200.69
20-09-2019,151450,Male,27,Single,California,Basic,Employees,PayPal,1,1929.33
21-09-2019,151451,Female,66,Married,Washington,Missing,workers,PayPal,1,
22-09-2019,151452,Male,57,Married,Texas,Silver,Employees,PayPal,1,2670.72
23-09-2019,151453,Female,46,Married,Pennsylvania,Basic,Employees,Card,1,
24-09-2019,151454,Male,34,Married,Texas,Basic,self-employed,Card,0,1901.16
25-09-2019,151455,Female,48,Married,Alaska,Gold,workers,Card,0,1728.06
26-09-2019,151456,Female,,Married,New Mexico,Basic,Unemployment,Card,1,2863.62
27-09-2019,151457,Female,49,Single,Hawaii,Basic,workers,PayPal,1,1822.31
28-09-2019,151458,Female,77,Single,Arizona,Basic,self-employed,Card,0,711.52
29-09-2019,151459,Male,58,Married,California,Platinum,workers,Card,0,
30-09-2019,151460,Male,28,Married,Louisiana,Platinum,workers,PayPal,0,
01-10-2019,151461,Female,15,Married,Arizona,Basic,self-employed,PayPal,1,198.48
02-10-2019,151462,Female,58,Married,Mississippi,Basic,workers,PayPal,1,418.28
03-10-2019,151463,Male,27,Single,Oregon,Silver,workers,PayPal,0,913.81
04-10-2019,151464,Female,64,Married,Massachusetts,Gold,self-employed,PayPal,0,
05-10-2019,151465,Female,36,Married,Texas,Platinum,Employees,Card,0,1608.01
06-10-2019,151466,Male,43,Married,Montana,Basic,Unemployment,PayPal,1,2681.13
07-10-2019,151467,Female,,Married,Nevada,Basic,self-employed,Card,1,2414.29
08-10-2019,151468,Female,59,Married,Iowa,Gold,Employees,PayPal,0,2410.23
09-10-2019,151469,Female,73,Married,Texas,Basic,workers,PayPal,1,63.2
10-10-2019,151470,Female,32,Married,New York,Gold,Unemployment,Other,,522.24
11-10-2019,151471,Female,51,Married,South Dakota,Silver,workers,PayPal,1,2558.27
12-10-2019,151472,Female,51,Married,Vermont,Basic,self-employed,Other,1,603.47
13-10-2019,151473,Female,45,Single,Colorado,Silver,Employees,Card,0,2790.3
14-10-2019,151474,Female,50,Married,South Carolina,Platinum,Employees,PayPal,1,801.07
15-10-2019,151475,Female,56,Married,Wyoming,Basic,Employees,PayPal,1,250.81
16-10-2019,151476,Female,74,Married,Florida,Basic,workers,Other,1,2076.39
17-10-2019,151477,Female,49,Married,Oklahoma,Platinum,workers,PayPal,,2692.4
18-10-2019,151478,Male,22,Single,Pennsylvania,Basic,Employees,PayPal,1,2928.57
19-10-2019,151479,Female,71,Single,Vermont,Platinum,Employees,PayPal,1,1707.96
20-10-2019,151480,Male,59,Married,Mississippi,Basic,self-employed,Card,1,2501.05
21-10-2019,151481,Female,46,Married,Oklahoma,Basic,Employees,Card,1,1757.27
22-10-2019,151482,Male,47,Single,Georgia,Platinum,workers,PayPal,1,1994.46
23-10-2019,151483,Female,,Single,Indiana,Silver,workers,PayPal,0,1925
24-10-2019,151484,Male,56,Single,Florida,Missing,workers,Other,1,1600.96
25-10-2019,151485,Female,55,Married,Arizona,Basic,self-employed,Other,1,2773.68
26-10-2019,151486,Male,43,Single,Nebraska,Silver,self-employed,PayPal,1,2749.66
27-10-2019,151487,Male,61,Married,Massachusetts,Gold,Employees,Other,1,
28-10-2019,151488,Female,37,Single,Arizona,Silver,workers,Other,1,1733.91
29-10-2019,151489,Male,39,Single,Mississippi,Silver,,Card,0,329.2
30-10-2019,151490,Female,73,Married,Wisconsin,Basic,Unemployment,PayPal,1,2787.95
31-10-2019,151491,Male,48,Married,California,Platinum,workers,PayPal,1,910.97
01-11-2019,151492,Female,78,Single,Oregon,Silver,workers,PayPal,0,7.44
02-11-2019,151493,Male,53,Single,Colorado,Basic,Employees,Card,1,1342.22
03-11-2019,151494,Male,46,Married,Utah,Missing,Employees,Other,1,
04-11-2019,151495,Female,55,Married,North Dakota,Basic,Employees,PayPal,1,2084.64
05-11-2019,151496,Female,63,Single,Hawaii,Silver,workers,PayPal,0,945.7
06-11-2019,151497,Female,15,Single,South Dakota,Missing,Employees,PayPal,0,1380.2
07-11-2019,151498,Male,57,Single,Kentucky,Basic,Unemployment,PayPal,0,663.43
08-11-2019,151499,Female,50,Married,Indiana,Basic,self-employed,Card,,1394.19
09-11-2019,151500,,37,Single,Missouri,Silver,Employees,PayPal,0,638.49
10-11-2019,151501,Male,28,Single,Alaska,Platinum,Employees,PayPal,0,1834.95
11-11-2019,151502,Male,18,Married,Arizona,Basic,Unemployment,Card,1,1835.84
12-11-2019,151503,Female,35,Single,Illinois,Gold,workers,Card,1,1884.42
13-11-2019,151504,Female,70,Married,Nevada,Basic,Employees,PayPal,1,1176.71
14-11-2019,151505,Female,50,Married,Vermont,Basic,Employees,PayPal,0,53.82
15-11-2019,151506,Female,54,Married,Maine,Platinum,workers,PayPal,0,982.39
16-11-2019,151507,Female,48,Married,Kentucky,Basic,workers,PayPal,1,1690.7
17-11-2019,151508,Female,68,Married,Wyoming,Basic,workers,PayPal,0,
18-11-2019,151509,Female,30,Married,Michigan,Platinum,Employees,PayPal,1,2703.18
19-11-2019,151510,Female,38,Married,Texas,Basic,Employees,PayPal,0,281.95
20-11-2019,151511,Male,32,Married,Hawaii,Basic,self-employed,Other,1,338.98
21-11-2019,151512,Male,67,Married,Pennsylvania,Silver,workers,PayPal,0,883.97
22-11-2019,151513,Female,58,Married,Vermont,Silver,Employees,PayPal,1,2861.87
23-11-2019,151514,Male,31,Married,Oregon,Basic,Unemployment,Other,1,975.49
24-11-2019,151515,Male,42,Single,Ohio,Basic,workers,Other,1,421.83
25-11-2019,151516,Male,62,Married,Alaska,Basic,Employees,Other,1,588.88
26-11-2019,151517,Male,54,Single,New York,Platinum,Employees,Other,0,2463.7
27-11-2019,151518,Male,66,Single,Connecticut,Silver,workers,PayPal,0,639.44
28-11-2019,151519,Female,43,Single,Oklahoma,Basic,workers,PayPal,0,52.2
29-11-2019,151520,Female,37,Married,Oregon,Gold,Employees,PayPal,0,
